key,zh_CN,en_US
data.character.the_fool.name,愚者,The Fool
data.character.the_fool.hint,高机动，容错较低,High mobility and risky defense
data.character.the_chariot.name,战车,The Chariot
data.character.the_chariot.hint,高生存，稳健推进,High survivability and steady push
data.character.the_sun.name,太阳,The Sun
data.character.the_sun.hint,均衡属性，节奏控制,Balanced stats with tempo control
data.item.item_damage_chip.name,伤害芯片,Damage Chip
data.item.item_damage_chip.desc,攻击伤害 +1,Attack damage +1
data.item.item_attack_speed.name,超频触发器,Overclock Trigger
data.item.item_attack_speed.desc,攻击速度 +8%,Attack speed +8%
data.item.item_armor_plate.name,护甲板,Armor Plate
data.item.item_armor_plate.desc,护甲 +1.5,Armor +1.5
data.item.item_crit_lens.name,暴击透镜,Crit Lens
data.item.item_crit_lens.desc,暴击率 +3%,Crit chance +3%
data.item.item_vampire_fang.name,吸血獠牙,Vampire Fang
data.item.item_vampire_fang.desc,吸血 +2%,Lifesteal +2%
data.weapon.kunai.name,苦无,Kunai
data.weapon.kunai.desc,快速近战突刺武器，适合贴身压制。,Fast melee thrust weapon with quick close-range pressure.
data.weapon.road_sign.name,路障,Road Sign
data.weapon.road_sign.desc,缓慢重型近战武器，打击范围稳定。,Slow heavy melee weapon with steady strike coverage.
data.weapon.nail_gun.name,射钉枪,Nail Gun
data.weapon.nail_gun.desc,节奏较快的中距离追踪远程武器。,Mid-range homing ranged weapon with a quick tempo.
data.weapon.chain_whip.name,链鞭,Chain Whip
data.weapon.chain_whip.desc,宽范围近战横扫武器，适合清理群怪。,Wide melee sweep weapon for crowd control.
data.weapon.circular_saw.name,圆锯,Circular Saw
data.weapon.circular_saw.desc,重型弹射武器，单次命中伤害较高。,Heavy ranged projectile weapon with high single-hit damage.
data.weapon.flare_launcher.name,信号弹发射器,Flare Launcher
data.weapon.flare_launcher.desc,追踪型远程发射器，提供爆发压力。,Homing ranged launcher for burst pressure.
data.weapon.traffic_cone.name,路锥,Traffic Cone
data.weapon.traffic_cone.desc,重型近战扫击武器，拥有扎实的击退反馈。,Heavy close-range melee weapon with sturdy sweeping impact.
data.weapon.heavy_wrench.name,重型扳手,Heavy Wrench
data.weapon.heavy_wrench.desc,可靠的近距离重击武器。,Reliable close-range heavy strikes.
data.weapon.molotov.name,燃烧瓶,Molotov
data.weapon.molotov.desc,抛物飞行后在落点爆炸，造成范围伤害。,"Thrown in an arc, then explodes at the landing point for area damage."
data.weapon.shuriken_ring.name,手里剑环,Shuriken Ring
data.weapon.shuriken_ring.desc,中距离弹射武器，攻击频率较高。,Mid-range homing weapon with quick repeated hits.
data.weapon.steel_pipe.name,钢管,Steel Pipe
data.weapon.steel_pipe.desc,稳定的早期近战横扫武器。,Stable early melee sweep weapon.
data.weapon.rebar_spear.name,钢筋矛,Rebar Spear
data.weapon.rebar_spear.desc,长距离线性近战突刺武器。,Long-reach linear melee thrust weapon.
data.weapon.mechanical_crossbow.name,机械弩,Mechanical Crossbow
data.weapon.mechanical_crossbow.desc,节奏稳定的追踪远程武器。,Stable homing ranged weapon with good tempo.
data.weapon.meteor_hammer.name,流星锤,Meteor Hammer
