"Name"	"Rarity"	"Effects"	"BasePrice"	"Limit"	"UnlockedBy"	"Tags"
"Acid"	"Tier 2"	"+8 Max HP
-2 % Dodge
-2 Knockback"	"65"	""	""	"Max HP"
"Adrenaline"	"Tier 3"	"+5 % Dodge
50% chance to heal 5 HP when dodging an attack"	"60"	"1"	""	"Dodge"
"Alien Baby"	"Tier 3"	"+15 Max HP
+10 % Enemy health"	"80"	""	""	"Max HP"
"Alien Eyes"	"Tier 2"	"Shoots 6 alien eyes around you every 3 seconds dealing 6 (+50%) damage each"	"50"	""	""	"Max HP"
"Alien Magic"	"Tier 3"	"+8 Max HP
+3 HP Regeneration
-8 Luck"	"85"	""	""	"Max HP	 HP Regeneration"
"Alien Tongue"	"Tier 1"	"+30% pickup range
+1 Knockback"	"25"	""	""	"Pickup	 Knockback"
"Alien Worm"	"Tier 1"	"+3 Max HP
+2 HP Regeneration
-1 HP recovered from consumables"	"15"	""	""	"Max HP	 HP Regeneration"
"Alloy"	"Tier 3"	"+3 Melee Damage
+3 Ranged Damage
+3 Elemental Damage
+3 Engineering
+5 % Crit Chance
-6 % Dodge"	"80"	""	""	"Melee Damage	 Ranged Damage	 Engineering	 Crit Chance	 Elemental Damage"
"Anvil"	"Tier 4"	"A random weapon is upgraded when entering a shop. If you have no weapon to upgrade	 you gain +2 Armor instead."	"120"	"1"	"Win a run with Arms Dealer"	""
"Ashes(DLC)"	"Tier 4"	"+20 % Damage
+20 % Attack Speed
+100 Range
-1 Armor at the end of a wave"	"100"	""	""	"Attack Speed	 Damage	 Range"
"Axolotl(DLC)"	"Tier 4"	"Your highest (Max HP) and lowest (Max HP) positive primary stats are swapped when you get this item"	"130"	"1"	""	""
"Baby Elephant"	"Tier 1"	"25% chance to deal 1 (25%) damage to a random enemy when you pick up a material"	"22"	""	""	"Luck	 Pickup"
"Baby Gecko"	"Tier 1"	"+10 Range
+25% chance to instantly attract a material when it’s dropped"	"18"	"4"	""	"Pickup	 Range"
"Baby Squid(DLC)"	"Tier 2"	"+1 HP Regeneration when you level up
-3 % Attack Speed"	"55"	""	""	"HP Regeneration"
"Baby with a Beard"	"Tier 3"	"One bullet dealing 1 (+100%) damage is fired from an enemy corpse when they die
-50 Range"	"100"	""	""	"Ranged Damage"
"Bag"	"Tier 1"	"+15 materials when you pick up a crate
-1 % Speed"	"15"	"3"	""	"Luck	 Exploration	 Economy"
"Bait"	"Tier 2"	"+8 % Damage
Special enemies appear at the beginning of the next wave"	"25"	""	""	"Damage	 Number of Enemies"
"Ball and Chain"	"Tier 3"	"+15 % Damage
+3 Armor
+5 Knockback
-3 % Speed
Weapons have a minimum cooldown of 0.75 seconds between attacks"	"75"	"1"	""	"Damage	 Armor	 Knockback"
"Bandana"	"Tier 3"	"Projectiles pierce through 1 additional target
-10 % Damage"	"75"	""	""	"Ranged Damage"
"Banner"	"Tier 2"	"+20 Range
+10 % Attack Speed
-5 Knockback"	"55"	""	""	"Range	 Attack Speed"
"Barnacle(DLC)"	"Tier 3"	"+35% stats gained from level upgrades
+1 Curse when you level up"	"80"	"1"	"Win a run with Creature"	"Curse	 XP Gain"
"Barricade"	"Tier 3"	"+3 Knockback
+8 Armor while standing still
-5 % Speed"	"75"	""	""	"Armor	 Stand Still	 Knockback"
"Bat"	"Tier 1"	"+2 % Life Steal
-2 Harvesting"	"20"	""	""	"Life Steal"
"Bean Teacher"	"Tier 3"	"+50 % XP Gain
-2 % Life Steal"	"70"	""	""	"XP Gain"
"Beanie"	"Tier 1"	"+4 % Speed
-6 Range"	"20"	""	""	"Speed"
"Big Arms"	"Tier 4"	"+12 Melee Damage
+6 Ranged Damage
+3 Knockback
-3 % Attack Speed
-3 % Speed"	"105"	""	"Win a run with Generalist"	"Melee Damage	 Ranged Damage	 Knockback"
"Black Belt"	"Tier 2"	"+25 % XP Gain
+3 Melee Damage
+3 Knockback
-8 Luck"	"50"	""	""	"Melee Damage	 XP Gain	 Knockback"
"Black Flag(DLC)"	"Tier 3"	"+1 material when you kill a cursed enemy
+10% Enemies
+10 % Enemy health
+10 % Enemy damage
+5 Curse"	"60"	"1"	""	"Curse	 More Enemies"
"Blindfold"	"Tier 2"	"+5 % Crit Chance
+5 % Dodge
-15 Range"	"45"	""	""	"Crit Chance	 Dodge"
"Blood Donation"	"Tier 3"	"+40 Harvesting
You take 1 damage per second (does not give invulnerability time)"	"50"	""	""	"Harvesting"
"Blood Leech"	"Tier 2"	"+2 % Life Steal
+2 HP Regeneration
-3 Harvesting"	"45"	""	""	"Life Steal	 HP Regeneration"
"Bloody Hand"	"Tier 4"	"+10 % Life Steal
+2 % Damage for every 1 % Life Steal you have
You take 1 damage per second (does not give invulnerability time)"	"110"	"1"	""	"Life Steal"
"Boiling Water"	"Tier 1"	"+2 Elemental Damage
-1 Max HP"	"30"	""	""	"Elemental Damage"
"Bone Dice(DLC)"	"Tier 2"	"+50% chance to get +1 % Damage when rerolling in the shop
+10% chance to get -1 Max HP when rerolling in the shop"	"30"	"2"	""	"Damage"
"Book"	"Tier 1"	"+1 Engineering"	"8"	""	""	"Engineering"
"Bowler Hat"	"Tier 3"	"+15 Luck
+18 Harvesting
-5 % Attack Speed
-3 % Crit Chance"	"75"	""	"Win a run with Entrepreneur"	"Luck	 Harvesting"
"Boxing Glove"	"Tier 1"	"+1 Melee Damage
+3 Knockback"	"18"	""	""	"Melee Damage	 Knockback"
"Broken Mouth"	"Tier 1"	"+5 Max HP
-1 HP Regeneration"	"25"	""	""	"Max HP"
"Butterfly"	"Tier 1"	"+2 % Life Steal
-1 Elemental Damage"	"30"	""	""	"Life Steal"
"Cake"	"Tier 1"	"+3 Max HP
-1 % Damage"	"15"	""	""	"Max HP"
"Campfire"	"Tier 2"	"+2 Elemental Damage
+2 HP Regeneration
-2 % Speed"	"40"	""	""	"Elemental Damage	 HP Regeneration"
"Candle"	"Tier 3"	"+4 Elemental Damage
+1 HP Regeneration
-10% Enemies
-5 % Damage"	"65"	"1"	""	"Elemental Damage	 HP Regeneration	 Less Enemies"
"Candy Bag"	"Tier 3"	"Each wave grants 8 points randomly split between your primary stats
Each wave	 10% chance to spawn an additional elite"	"70"	"1"	"Win a run without locking any items in the shop"	""
"Cape"	"Tier 4"	"+5 % Life Steal
+20 % Dodge
-2 Melee Damage
-2 Ranged Damage
-2 Elemental Damage"	"110"	""	""	"Life Steal	 Dodge"
"Cauldron(DLC)"	"Tier 2"	"+50% pickup range
+20 % Damage for 2 seconds after picking up a consumable
-2 HP Regeneration"	"35"	"1"	"Win a run with Druid"	"Pickup"
"Celery Tea"	"Tier 2"	"+5 % XP Gain at the end of a wave
+50 % XP Gain during the next wave
+100 % Enemy health during the next wave"	"35"	""	"Win a run with Baby"	"XP Gain"
"Chameleon"	"Tier 3"	"+3 % Dodge
+20 % Dodge while standing still
-4 % Damage"	"70"	""	""	"Dodge	 Stand Still"
"Charcoal"	"Tier 1"	"+1 Elemental Damage
+2 Melee Damage
-2 Harvesting"	"20"	""	""	"Elemental Damage	 Melee Damage"
"Claw Tree"	"Tier 1"	"+1 Melee Damage
+3 % Crit Chance
-1 Max HP"	"20"	""	""	"Melee Damage	 Crit Chance"
"Clockwork Wasp"	"Tier 2"	"+10 % Structure attack speed
+5 % Speed"	"45"	""	""	"Structure	 Speed"
"Clover"	"Tier 3"	"+20 Luck
+6 % Dodge
-2 % Life Steal"	"65"	""	""	"Luck	 Dodge"
"Coffee"	"Tier 1"	"+10 % Attack Speed
-2 % Damage"	"20"	""	""	"Attack Speed"
"Cog"	"Tier 2"	"+4 Engineering
+1 Knockback
-4 % Damage"	"35"	""	""	"Engineering	 Knockback"
"Coil"	"Tier 3"	"+5 Knockback
+1 % Damage for every 1 Knockback you have"	"70"	"3"	""	"Damage	 Knockback"
"Community Support"	"Tier 3"	"+1 % Attack Speed for every current living enemy
-2 Armor"	"75"	"1"	"Win a run with Streamer"	"Attack Speed"
"Compass"	"Tier 2"	"+5 % Speed
+3 Engineering
-3 % Crit Chance"	"40"	""	"Win a run with Explorer"	"Speed	 Engineering"
"Coral(DLC)"	"Tier 2"	"+10 HP Regeneration while standing still
-10 Range"	"40"	""	""	"HP Regeneration	 Stand Still"
"Corrupted Shard(DLC)"	"Tier 1"	"+3 % Damage
+1 Curse"	"12"	""	""	"Damage	 Curse"
