"id","name","slot","effect","build","rarity"
"1","契约胜利之剑印","圣遗物","终结技伤害+18%","圣誓爆发","legendary"
"2","王权鞘徽","护符","首次受击生成生命12%护盾","圣誓爆发","rare"
"3","誓约圣杯碎片","圣杯","治疗溢出转为攻击力，持续6秒","圣誓爆发","epic"
"4","圆桌勋章","徽章","队友每存活1人，技能伤害+4%","圣誓爆发","uncommon"
"5","白垩王旗","战旗","开场10秒攻速+20%","圣誓爆发","common"
"6","荣光缎带","饰带","暴击后回复2%最大法力","圣誓爆发","rare"
"7","骑士火漆","印信","格挡成功后下次技能必定暴击","圣誓爆发","epic"
"8","破晓授冠","冠饰","清除控制后伤害减免+25%（3秒）","圣誓爆发","uncommon"
"9","王星星盘","星盘","每30秒刷新一次强光斩增伤层","圣誓爆发","rare"
"10","誓胜祷文页","卷轴","连续施法第3次伤害+35%","圣誓爆发","epic"
"11","王选誓戒","戒指","生命低于35%时全伤+22%","圣誓爆发","legendary"
"12","黑魂余烬戒","戒指","点燃目标时额外附加暗蚀DoT","深渊余烬","rare"
"13","薪王灰盏","遗物","击杀后留下余烬区，敌人易伤+10%","深渊余烬","common"
"14","无火者眼灰","粉末","低光区域命中率+15%","深渊余烬","uncommon"
"15","深渊回声铃","铃饰","施放诅咒时回声复制一次（50%效能）","深渊余烬","epic"
"16","褪色猎犬徽","徽章","闪避后3秒移速+30%","深渊余烬","uncommon"
"17","冷墓烛芯","烛芯","每损失10%生命，暗伤+4%","深渊余烬","rare"
"18","罪业赎石","灵石","承受负面状态时获得1层增伤","深渊余烬","epic"
"19","空壳指骨签","骨签","复活后10秒内减伤+35%","深渊余烬","common"
"20","螺旋篝火针","针具","站桩3秒后每秒回蓝2%","深渊余烬","uncommon"
"21","小镰祈印","印记","流血目标被击中时额外掉魂晶","深渊余烬","rare"
"22","黑日誓链","项链","施加暗蚀层数上限+3","深渊余烬","legendary"
"23","猩红收割纹章","纹章","对流血目标暴击率+12%","血祭收割","common"
"24","血月唤潮瓶","药瓶","使用后8秒吸血+18%","血祭收割","rare"
"25","凝血沙漏","沙漏","流血持续时间+40%","血祭收割","common"
"26","猎场红羽","羽饰","背击伤害+25%","血祭收割","uncommon"
"27","宴血封蜡","封蜡","击杀流血目标重置小技能1次","血祭收割","epic"
"28","断罪绷带","绷带","生命低于50%时吸血提升至2倍","血祭收割","uncommon"
"29","红宴请柬","请柬","同屏每个流血敌人使攻击+2%","血祭收割","rare"
"30","鲜红判币","古币","暴击造成额外真实伤害（基于层数）","血祭收割","uncommon"
"31","祭脉符针","符针","第5次命中必施加重伤","血祭收割","rare"
"32","血税契据","契据","治疗效果-20%，伤害+20%","血祭收割","epic"
"33","绯雾香囊","香囊","近身3米内敌人每秒失血","血祭收割","common"
"34","时律棱镜","棱镜","技能冷却缩减+12%","时停连段","rare"
"35","钟摆碎芯","核心","完美闪避后时间减速1.2秒","时停连段","epic"
"36","回拨齿轮","齿轮","受致命伤时回到2秒前生命状态（90秒CD）","时停连段","legendary"
"37","瞬刻笔记","手札","连续释放不同技能，每次增伤+6%","时停连段","common"
"38","零秒墨滴","墨瓶","控制命中后法术暴击+20%（3秒）","时停连段","uncommon"
"39","逆熵徽片","徽片","减速目标承伤+15%","时停连段","rare"
"40","停滞印框","印框","召唤物攻击可延长控制0.3秒","时停连段","uncommon"
"41","时缝线轴","线轴","施法被打断时返还60%消耗","时停连段","common"
"42","黄昏秒针","秒针","战斗越久，技能伤害上限+25%","时停连段","rare"
"43","未来残页","残页","预读下一个技能，命中后减CD20%","时停连段","epic"
"44","轮回校准器","校准器","每第7次命中触发一次时间脉冲","时停连段","uncommon"
"45","统御号角","号角","召唤物伤害+20%","召唤军势","rare"
