"source_name","source_rarity","source_base_price","source_limit","source_unlocked_by","source_tags","source_effects","tele_rarity","tele_category","tele_tags","remap_confidence","remap_reason"
"Acid","Tier 2","65","","","Max HP","+8 max hp; -2 % dodge; -2 knockback","uncommon","survival_counter","survival;utility","high","signals=3; rule=survival_counter"
"Adrenaline","Tier 3","60","1","","Dodge","+5 % dodge; 50% chance to heal 5 hp when dodging an attack","rare","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Alien Baby","Tier 3","80","","","Max HP","+15 max hp; +10 % enemy health","rare","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Alien Eyes","Tier 2","50","","","Max HP","shoots 6 alien eyes around you every 3 seconds dealing 6 (+50%) damage each","uncommon","build_core","output;survival","medium","signals=2; rule=build_core"
"Alien Magic","Tier 3","85","","","Max HP;HP Regeneration","+8 max hp; +3 hp regeneration; -8 luck","rare","build_core","survival;economy","high","signals=3; rule=build_core"
"Alien Tongue","Tier 1","25","","","Pickup;Knockback","+30% pickup range; +1 knockback","common","rhythm_resource","utility","medium","signals=2; rule=rhythm_resource"
"Alien Worm","Tier 1","15","","","Max HP;HP Regeneration","+3 max hp; +2 hp regeneration; -1 hp recovered from consumables","common","survival_counter","survival;utility","high","signals=3; rule=survival_counter"
"Alloy","Tier 3","80","","","Melee Damage;Ranged Damage;Engineering;Crit Chance;Elemental Damage","+3 melee damage; +3 ranged damage; +3 elemental damage; +3 engineering; +5 % crit chance; -6 % dodge","rare","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Anvil","Tier 4","120","1","Win a run with Arms Dealer","","a random weapon is upgraded when entering a shop. if you have no weapon to upgrade, you gain +2 armor instead.","epic","build_core","output;survival;economy","high","signals=3; rule=build_core"
"Ashes(DLC)","Tier 4","100","","","Attack Speed;Damage;Range","+20 % damage; +20 % attack speed; +100 range; -1 armor at the end of a wave","epic","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Axolotl(DLC)","Tier 4","130","1","","","your highest (max hp) and lowest (max hp) positive primary stats are swapped when you get this item","epic","survival_counter","survival","medium","signals=1; rule=survival_counter"
"Baby Elephant","Tier 1","22","","","Luck;Pickup","25% chance to deal 1 (25%) damage to a random enemy when you pick up a material","common","build_core","output;economy;utility","high","signals=3; rule=build_core"
"Baby Gecko","Tier 1","18","4","","Pickup;Range","+10 range; +25% chance to instantly attract a material when it’s dropped","common","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Baby Squid(DLC)","Tier 2","55","","","HP Regeneration","+1 hp regeneration when you level up; -3 % attack speed","uncommon","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Baby with a Beard","Tier 3","100","","","Ranged Damage","one bullet dealing 1 (+100%) damage is fired from an enemy corpse when they die; -50 range","rare","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Bag","Tier 1","15","3","","Luck;Exploration;Economy","+15 materials when you pick up a crate; -1 % speed","common","economy_ops","economy;utility","high","signals=4; rule=economy_ops"
"Bait","Tier 2","25","","","Damage;Number of Enemies","+8 % damage; special enemies appear at the beginning of the next wave","uncommon","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Ball and Chain","Tier 3","75","1","","Damage;Armor;Knockback","+15 % damage; +3 armor; +5 knockback; -3 % speed; weapons have a minimum cooldown of 0.75 seconds between attacks","rare","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Bandana","Tier 3","75","","","Ranged Damage","projectiles pierce through 1 additional target; -10 % damage","rare","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Banner","Tier 2","55","","","Range;Attack Speed","+20 range; +10 % attack speed; -5 knockback","uncommon","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
